iso3c.x;iso3c.y;Pos_x_over_y;Pos_y_over_x;Neg_x_over_y;Neg_y_over_x;DyadCode
BRA;CAN;71;41;12;36;BRA+CAN
BRA;CHN;45;57;38;34;BRA+CHN
BRA;FRA;59;46;19;43;BRA+FRA
BRA;DEU;63;6;18;16;BRA+DEU
BRA;IND;23;32;57;21;BRA+IND
BRA;PAK;5;16;81;23;BRA+PAK
BRA;RUS;30;36;50;9;BRA+RUS
BRA;GBR;33;46;39;43;BRA+GBR
BRA;USA;42;40;44;39;BRA+USA
CAN;CHN;37;82;51;11;CAN+CHN
CAN;FRA;74;92;14;5;CAN+FRA
CAN;DEU;73;63;15;2;CAN+DEU
CAN;IND;41;37;44;16;CAN+IND
CAN;PAK;14;26;67;30;CAN+PAK
CAN;RUS;18;36;71;15;CAN+RUS
CAN;GBR;73;94;18;5;CAN+GBR
CAN;USA;34;87;58;5;CAN+USA
CHN;FRA;74;35;16;60;CHN+FRA
CHN;DEU;84;20;13;35;CHN+DEU
CHN;IND;35;19;62;60;CHN+IND
CHN;PAK;47;63;44;12;CHN+PAK
CHN;RUS;74;44;18;23;CHN+RUS
CHN;GBR;73;37;19;58;CHN+GBR
CHN;USA;33;22;61;70;CHN+USA
FRA;DEU;79;56;17;6;FRA+DEU
FRA;IND;39;37;53;20;FRA+IND
FRA;PAK;16;25;72;26;FRA+PAK
FRA;RUS;23;35;71;22;FRA+RUS
FRA;GBR;63;78;32;18;FRA+GBR
FRA;USA;37;66;58;19;FRA+USA
DEU;IND;1;40;33;17;DEU+IND
DEU;PAK;1;21;47;20;DEU+PAK
DEU;RUS;6;31;47;29;DEU+RUS
DEU;GBR;35;84;18;14;DEU+GBR
DEU;USA;22;70;40;17;DEU+USA
IND;PAK;5;11;85;62;IND+PAK
IND;RUS;40;41;19;10;IND+RUS
IND;GBR;33;56;20;38;IND+GBR
IND;USA;40;49;26;37;IND+USA
PAK;RUS;20;10;30;40;PAK+RUS
PAK;GBR;20;28;29;62;PAK+GBR
PAK;USA;24;14;43;71;PAK+USA
RUS;GBR;24;21;32;74;RUS+GBR
RUS;USA;7;16;64;72;RUS+USA
GBR;USA;33;79;64;10;GBR+USA
